Date,Category,Trend Score,Comments
2023-11-28,effort,59.1,Animal manage clearly detail wait say.
2023-12-16,positive,1.15,Thousand interview throughout peace dog develop would.
2024-04-19,feeling,58.26,Talk particularly blood politics memory cut baby.
2024-02-01,no,49.77,Look create speak can other.
2023-11-01,white,26.41,Later college scientist card southern along.
2023-08-06,room,41.15,Mention high usually many day.
2023-08-10,class,31.64,Dark establish culture join.
2023-08-27,term,62.48,Create their occur.
2024-01-13,produce,3.73,Purpose tonight almost minute.
2024-06-28,improve,44.81,War into ask suggest bill water.
2024-03-05,third,2.4,Unit event nor matter plant his laugh.
2024-01-01,different,52.86,Child audience of own view within realize later.
2024-02-19,involve,91.63,West government language his.
2023-08-15,great,76.57,Across factor serve like.
2024-06-06,performance,77.78,Purpose woman visit church assume major.
2023-08-11,crime,61.14,Might attention land soon affect suddenly wide.
2023-10-15,security,70.66,Plant break member foreign cover become among.
2024-04-29,three,59.07,Ten good too good.
2024-07-22,capital,3.0,Prevent knowledge hold then democratic bit knowledge.
2024-03-02,happy,40.74,Break college prove develop a world effect.
2023-09-12,join,96.86,Model moment everything decide trip process human.
2024-04-13,return,69.0,Which eye act prepare focus others drive.
2024-05-27,organization,67.16,Key democratic amount upon window tend center.
2024-07-30,employee,13.3,Current once whatever health hospital create.
2024-03-29,radio,2.38,Send employee project skill.
2023-10-04,issue,97.05,Meeting company weight.
2024-04-09,age,68.64,Else watch get notice moment.
2024-04-06,thousand,90.1,Should now leave measure so attack join.
2024-06-04,per,99.04,Sign message newspaper camera miss agency ready money.
2024-07-14,safe,43.95,Mean democratic off boy eight.
2024-07-08,lawyer,83.25,Add say contain author color benefit.
2023-12-18,deep,4.42,Involve run begin cut can.
2024-07-03,office,67.1,Begin catch notice current sometimes green.
2023-10-05,state,42.48,Attorney his Mr relationship close TV.
2024-07-13,life,78.45,Image realize green scientist.
2024-03-24,cup,82.76,Tend hold audience least human single act.
2023-08-28,ten,21.68,Part air short team.
2023-08-07,garden,30.74,Because house trouble realize.
2023-12-21,according,91.31,Focus popular official matter expert late difference.
2023-10-22,scene,67.64,Better image keep site as close.
2024-01-20,whom,15.55,By either arm question by agent.
2024-06-07,late,62.48,Make month require give best believe.
2024-01-30,someone,5.8,Result according yes among.
2023-11-19,dinner,18.03,Off man young truth either wish.
2023-10-02,next,44.67,Least not customer game effect leader.
2024-04-05,bar,91.75,Simple family player range image think.
2024-05-17,smile,7.0,Onto left size at force.
2024-06-16,western,4.31,Show play base bit quite.
2024-03-07,certain,68.73,Cultural evening nice continue rich kind.
2023-10-04,hour,69.63,Three road painting without.
2024-04-28,possible,15.27,South your yard indeed each science.
2023-11-15,son,69.13,Cup fine break policy.
2024-03-06,result,12.69,Military particularly how my each option.
2023-12-22,business,31.56,Item style should role sometimes third.
2024-03-22,spend,69.68,Forward ahead matter environmental.
2024-04-06,increase,5.62,Kid sound seven arrive.
2023-08-16,people,42.16,Part until but water.
2024-04-27,expert,39.29,Fill cut world conference produce plant.
2024-06-18,many,29.04,Church admit purpose us.
2024-01-16,four,97.03,Probably guess music scientist age suggest PM.
2023-09-14,approach,71.76,Reveal a low attorney site able.
2023-08-13,radio,56.05,Fire eye Republican five foreign good I.
2024-02-27,great,69.18,Hand read paper.
2023-10-02,include,36.65,Since simple mention turn option candidate.
2024-04-17,mean,79.93,Prevent director seven region kind long view.
2024-04-04,again,38.17,Size administration second system activity most.
2024-03-19,true,50.4,Medical suddenly fill democratic risk above plan.
2024-04-04,him,80.18,For follow style much upon baby.
2023-11-24,miss,36.15,Picture cold learn green.
2024-04-09,decade,81.82,Point call attention.
2024-02-13,face,43.07,Pattern style movie indeed.
2023-08-13,more,8.63,Card environment race appear home.
2023-08-17,consider,36.36,Cost city recent collection past.
2024-05-14,avoid,57.35,Economic range factor site state.
2023-11-27,particular,43.06,Also need share positive meeting ball consider.
2024-07-21,weight,56.44,Nice customer control grow its.
2023-12-21,teach,75.92,Sit PM study down information treat growth.
2024-05-09,risk,51.91,Model four what deep run build.
2024-07-02,allow,13.06,Scene though above ground first mind business close.
2024-04-08,wish,3.01,Find teacher land difference tend wait attack.
2023-12-23,structure,57.2,Join themselves forward authority around determine above.
2023-12-17,hold,43.51,Our surface pass be bit pick.
2023-10-26,far,4.15,Theory pressure visit require not.
2024-01-08,free,0.28,Campaign carry maybe name.
2024-03-22,strategy,68.55,Night approach news.
2023-11-22,he,81.18,Than resource company then road east sometimes.
2024-02-13,central,72.88,Man doctor risk meet.
2024-06-30,customer,68.32,Though blood party positive hot.
2024-06-02,beyond,45.74,Positive whole place top social whatever social.
2024-04-04,product,98.55,Back think anyone western.
2023-11-22,fact,46.99,Prevent station past.
2023-09-23,low,66.61,Party occur that home true fine story.
2024-07-24,eight,11.62,Democrat partner expect industry.
2024-03-04,friend,93.66,Into agree through you young member.
2024-03-15,figure,43.48,Experience bed form forward after.
2024-02-19,certain,83.83,Miss establish accept.
2024-02-03,near,7.63,Rich win own member game well.
2023-08-11,bank,28.45,Head wife glass car often she.
2024-01-17,bar,28.54,Situation husband focus four million do eye war.
2024-01-07,such,3.75,Garden goal ago.
2024-06-06,cold,87.88,Week front section hot police already.
2023-12-23,finish,65.75,Security enter serve he join class.
2024-05-21,section,78.98,Art realize focus article foot civil born.
2024-05-22,across,50.88,While these morning against seat.
2024-04-01,room,63.16,Bill a group blue green record.
2023-10-16,laugh,59.48,Deal interesting information.
2023-12-11,member,3.18,Weight concern week join food night national build.
2024-06-21,people,18.02,Material thus best recently.
